name,address,link
Apex Life School,"Kathmandu,  Budanilkantha,  Chabahil, Saraswatinagar",https://nepalschoolmela.com/apexlifeschool
Everest Secondary School,"Morang,  Biratnagar,  Biratnagar",https://nepalschoolmela.com/everestschool
Machhapuchchhre IB World School,"Lalitpur,  Lalitpur,  Kusunti",https://nepalschoolmela.com/machhapuchchhre
Radiant Readers’ Academy,"Lalitpur,  Lalitpur,  Sanepa",https://nepalschoolmela.com/radiant
Valley Public  School,"Kathmandu,  Kathmandu,  Sundabarsti, Budhanilkatha-9",https://nepalschoolmela.com/valleypublic
Bhanubhakta Memorial School,"Kathmandu,  Kathmandu,  Panipokhari",https://nepalschoolmela.com/bhanubhaktamemorial
Butwal Public School,"Rupandehi,  Tillotama Municipality,  Tilottama-3, Yogikuti",https://nepalschoolmela.com/butwalpublic
Global Educational Academy,"Jhapa,  Damak,",https://nepalschoolmela.com/globaleducationalacademy
Laboratory Secondary Boarding School,"Kathmandu,  Kathmandu,  Kirtipur",https://nepalschoolmela.com/laboratoryschool
Little Angels School,"Lalitpur,   Hattiban",https://nepalschoolmela.com/littleschool
LRI School,"Kathmandu,  Nagarjun,  Kalanki Sthan",https://nepalschoolmela.com/lrischool
Morgan International School,"Kathmandu,   Basundhara -3",https://nepalschoolmela.com/morganschool
Panini School,"Kathmandu,   Kageshwori Manohara-9",https://nepalschoolmela.com/paninischool
Sagarmatha Secondary School,"Siraha,   Mirchaiya",https://nepalschoolmela.com/sagarmatha
Siddhartha Vidyapeeth  Secondary School,"Bhaktapur,  Madhyapur Thimi,  Madhyapur Thimi-2,Gatthaghar",https://nepalschoolmela.com/siddhartha
Southwestern School,"Kathmandu,  Kathmandu,  Basundhara",https://nepalschoolmela.com/southwestern
Ace School,"Kathmandu,  Kathmandu,  Gairigaun",https://nepalschoolmela.com/aceschool
Alok Vidyashram,"Kathmandu,  Kathmandu,  Shahid Marg, Gyaneshwor",https://nepalschoolmela.com/alokvidyashram
Asia Pacific School,"Kathmandu,  Tokha,  Tolakha Road",https://nepalschoolmela.com/aciapacific
​Campion Academy,"Lalitpur,  Lalitpur,  lagankhel",https://nepalschoolmela.com/compionacademy
Chandikeswori English Secondary School,"Kathmandu,  Gokarneshwor Municipality,  Bhumisthali, Nayapa",https://nepalschoolmela.com/chandikesworischool
Chelsea International Academy,"Kathmandu,  Kathmandu,  New Baneshwor",https://nepalschoolmela.com/chelsaacademy
Euro School,"Kathmandu,  Kathmandu,  Ganesh Chowk Hattigaunda",https://nepalschoolmela.com/euros
Euro School Chhauni,"Kathmandu,  Kathmandu,  Kimdole-Marg, Chhauni",https://nepalschoolmela.com/EuroSchool123
GEMS School,"Lalitpur,  Lalitpur,  Dhapakhel",https://nepalschoolmela.com/gemsschool
Glacier International Secondary School,"Kathmandu,  Kathmandu,  Shantinagar",https://nepalschoolmela.com/Glacierschool
Gyan Sanskar International School,"Kathmandu,  Kathmandu,  Samakhusi Chowk",https://nepalschoolmela.com/gyansanskarschool
Herald Secondary School,"Kathmandu,   Basundhara",https://nepalschoolmela.com/herladschool
Himalaya Secondary School,"Kathmandu,  Kathmandu,  Koteshwor",https://nepalschoolmela.com/himalayaschool
Himalayan Academy,"Kathmandu,  Kathmandu,  Samakhushi-26",https://nepalschoolmela.com/himalayanacademy
IST Secondary School,"Kathmandu,  Kathmandu,  Gyaneshwor",https://nepalschoolmela.com/istschool
John Dewy Higher Secondary School,"Kathmandu,  Kathmandu,  Kapan Marg, Peepalbot, Maharjgunj",https://nepalschoolmela.com/johndewyschool
Kanjirowa National School,"Kathmandu,  Kathmandu,  Koteshwor",https://nepalschoolmela.com/kanjirowaschool
Kathmandu Valley School,"Kathmandu,  Kathmandu,  Museum Road, Chhauni",https://nepalschoolmela.com/kvc
Kautilya Global School,"Kathmandu,  Kathmandu,  Subidhanagar, Tinkune",https://nepalschoolmela.com/kautilyass
KMC SCHOOL,"Kathmandu,  Kathmandu,  Shankhamul Marg, BuddhaNagar",https://nepalschoolmela.com/kmcshool
Learning Heaven and Research School,"Pyuthan,   Pundyakhola",https://nepalschoolmela.com/learningheaven
Manakamana Secondary School,"Kathmandu,  Kathmandu,  Gokarneshwor-7",https://nepalschoolmela.com/manakamana
New Millennium School,"Lalitpur,  Lalitpur,  Seetal Height, Imadole",https://nepalschoolmela.com/newmillennium
Pathshala Nepal Foundation,"Lalitpur,   Bagdol",https://nepalschoolmela.com/pathsala
Rising Star Secondary School,"Kathmandu,  Kathmandu,  Bafal, Kalanki",https://nepalschoolmela.com/risingstarschool
SANN International Secondary School,"Kathmandu,  Kathmandu,  Chabahil, Bhatkeko Pul",https://nepalschoolmela.com/sannschool
Sarbanam Shikshyalaya,"Kathmandu,  Kathmandu,  Jorpati",https://nepalschoolmela.com/sarbanamshikshyalaya
Sikhar school,"Lalitpur,  Lalitpur,  Ochu Height, Imadole",https://nepalschoolmela.com/sikharschool
St.Joseph English Secondary School,"Kathmandu,  Budanilkantha,  Budhanilkantha-08,Golfutar",https://nepalschoolmela.com/stjosephs
Sunaulo Bhabisya,"Kathmandu,  Kathmandu,  Dallu Chautara - 15",https://nepalschoolmela.com/sunaulobhabisya
Tops English Boarding School,"Kaski,  Pokhara,  Ramghat, Pokhara",https://nepalschoolmela.com/topsenglishschool
Wisdom English Academy,"Kathmandu,  Kathmandu,  Kalanki",https://nepalschoolmela.com/wisdom
Valley English Secondary School,"Lalitpur,   Chapagaun",https://nepalschoolmela.com/valleyschool
Sagarmatha Secondary Boarding School,"Udaypur,   Beltar Basaha",https://nepalschoolmela.com/sagarmathasecondary
Saptakoshi English Boarding Secondary School,"Morang,  Urlabari,  Urlabari",https://nepalschoolmela.com/saptakoshienglish
Sudesha High School,"Lalitpur,  Lalitpur,  Nakkhu",https://nepalschoolmela.com/sudesha
Sabhapokhari  English Boarding School,"Sankhuwasabha,",https://nepalschoolmela.com/sabhapokhari
Sun Shine Secondary School,"Bhaktapur,  Madhyapur Thimi,  Naya Thimi - 4",https://nepalschoolmela.com/sunshineschool
Shree Nobel Academy,"Kanchanpur,   Nobel",https://nepalschoolmela.com/nobel
Babylon National School,"Kathmandu,  Kathmandu,  Shantinagar",https://nepalschoolmela.com/babylonnationalschool
Bibhuti Vidya Mandir English Higher Secondary School,"Jhapa,   Bhadrapur",https://nepalschoolmela.com/bibhutividya
West Point English Boarding Secondary School,"Kanchanpur,   Jhalari",https://nepalschoolmela.com/westpoint
Western Crystal Academy,"Kailali,  Dhangadi,  National Marg",https://nepalschoolmela.com/westerncrystal
Arunodaya English Secondary School,"Kavrepalanchok,   panauti",https://nepalschoolmela.com/arunodaya
Bal Bagaicha Primary School,"Kathmandu,   balbagaicha",https://nepalschoolmela.com/balbagaicha
Bal Jyoti English Boarding School,"Kapilvastu,",https://nepalschoolmela.com/baljyotienglish
Bal Kiran Lower Secondary Boarding English School,"Panchthar,",https://nepalschoolmela.com/balkiranschool
Balkalyan Boarding Secondary School,"Jhapa,   Birtamod",https://nepalschoolmela.com/balkalyanboardingschool
Udayasi English Secondary School,"Udaypur,   Triyuga-6, Udayapur",https://nepalschoolmela.com/udayasischool
Balodaya Secondary School,"Kaski,  Pokhara,",https://nepalschoolmela.com/balodaya
Bhanu Memorial English School,"Kailali,  Dhangadi,",https://nepalschoolmela.com/bhanumemorialschool
Araniko English Medium School,"Bardiya,   Sanoshree Taratal",https://nepalschoolmela.com/aranikoenglishmediumschool
Radiant Montessori English(R.M.E) School,"Kailali,  Tikapur Municipality,  Tikapur, Kailali",https://nepalschoolmela.com/radiantschool
Amar Adarsha Higher Secondary Boarding School,"Baglung,",https://nepalschoolmela.com/amaradarsha
Albert English Secondary Boarding School,"Kathmandu,  Kathmandu,  Maitidevi",https://nepalschoolmela.com/albertenglish
Sweta Sadan English Boarding School,"Kathmandu,   Samakhusi",https://nepalschoolmela.com/swetasadanschool
"Adarsha Secondary School, Morang","Morang,  Biratnagar,",https://nepalschoolmela.com/adarshasecondaryschool
Swarnim School,"Kathmandu,   Dallu Awas",https://nepalschoolmela.com/swarnimschool
Einstein Academy Secondary School,"Lalitpur,  Lalitpur,  Mahalaxmi Chowk",https://nepalschoolmela.com/einsteinacademynepal
Tamang Khark Secondary School,"Lalitpur,   Satdobato , Dhading",https://nepalschoolmela.com/tamangschool
Bheri Technical School,"Banke,  Nepalgunj,",https://nepalschoolmela.com/bts
Swostishree Gurukul,"Kathmandu,   Sanobharyang",https://nepalschoolmela.com/swostishreeschool
College of Culinary and Hospitality Management,"Kathmandu,  Kathmandu,",https://nepalschoolmela.com/cchm
Swati Sadan English Boarding Secondary School,"Kathmandu,   Balaju-16",https://nepalschoolmela.com/swatisadanschool
Nightingale International Secondary School,"Lalitpur,   Kupondole",https://nepalschoolmela.com/nightingaleschool
Prime Global School,"Kathmandu,  Kathmandu,  Khusibun, Nayabazaar",https://nepalschoolmela.com/primeglobal
Balaju School of Engineering and Technology,"Kathmandu,",https://nepalschoolmela.com/bset
Suryodaya Sai Secondary School,"Lalitpur,   Imadol, Mahalaxmi",https://nepalschoolmela.com/suryodayaschool
New Rising English Secondary school,"Kavrepalanchok,   Rayale",https://nepalschoolmela.com/nress
Sunrise Boarding School,"Kathmandu,   Chapali, Budhanilkantha",https://nepalschoolmela.com/sunriseschool
Supreme Academy Secondary School,"Bhaktapur,   Thimi",https://nepalschoolmela.com/supremeacademyschool
Supervision English School,"Lalitpur,",https://nepalschoolmela.com/supervisionschool
VIDHYA VIKASH SECONDARY BOARDING SCHOOL,"Bhaktapur,   JAGATI 7",https://nepalschoolmela.com/vidyavikashschool
Sweta Sadan English Boarding Secondary School,"Kathmandu,   Gongabu",https://nepalschoolmela.com/swetasadan
Tarun Secondary School,"Kathmandu,  Kathmandu,  Balaju",https://nepalschoolmela.com/tarunschool
Tarapunja Secondary School,"Kathmandu,",https://nepalschoolmela.com/tarapunjaschool
Tokha Valley English School,"Kathmandu,  Kathmandu,  Tokha",https://nepalschoolmela.com/tokhavalleyschool
Vidhya Vikash English School,"Kathmandu,  Kathmandu,  Gothatar-2",https://nepalschoolmela.com/vidyabikash
Awareness International Academy,"Kathmandu,  Kathmandu,  Sankhamul",https://nepalschoolmela.com/awarenessacademy
Ashirvad English Boarding School,"Kathmandu,  Kathmandu,  UpaharMarga",https://nepalschoolmela.com/ashirvadschool
Modern Indian School,"Kathmandu,   Chobhar",https://nepalschoolmela.com/modernindianschool
The Chandbagh School,"Kathmandu,   Bansbari",https://nepalschoolmela.com/thechandbaghschool
Arunodaya Academy,"Kathmandu,  Kathmandu,  Bijayaswari",https://nepalschoolmela.com/arunodayaacademy
Basu Higher Secondary School,"Bhaktapur,   Kalighat, Byasi",https://nepalschoolmela.com/basusecondaryschool
