name,address,link,phone,email
Apex Life School,"Kathmandu,  Budanilkantha,  Chabahil, Saraswatinagar",https://nepalschoolmela.com/apexlifeschool,Not found,info@apexlifeschool.edu.np
Everest Secondary School,"Morang,  Biratnagar,  Biratnagar",https://nepalschoolmela.com/everestschool,Not found,everestschool@gmail.com
Machhapuchchhre IB World School,"Lalitpur,  Lalitpur,  Kusunti",https://nepalschoolmela.com/machhapuchchhre,Not found,info@machhapuchhreintl.edu.np
Radiant Readers’ Academy,"Lalitpur,  Lalitpur,  Sanepa",https://nepalschoolmela.com/radiant,Not found,radiantschool@enet.com.np
Valley Public  School,"Kathmandu,  Kathmandu,  Sundabarsti, Budhanilkatha-9",https://nepalschoolmela.com/valleypublic,"Nishan Khatri, SLC 2008 Batch What I am today is because of my time as student in Valley Public High School. I look back my primary and secondary education days and feel how lucky I was to be able to get such a wonderful beginning. I have been living and running my own business in the USA for the past few years. My transition from Nepal to USA was made so easy mainly due to my education and upbringing in Valley Public. My language proficiency, my confidence in my own ability to do things was imparted in me by inspiring teachers to whom I owe my great respect. I have my respect and admiration for the service Valley Public is giving to the Nepali community. If any one of the Valley Public students are thinking of studying in the USA please feel free to contact me through Valley Public.",valleypublicschool2050@gmail.com
Bhanubhakta Memorial School,"Kathmandu,  Kathmandu,  Panipokhari",https://nepalschoolmela.com/bhanubhaktamemorial,Step 4 : Results will be published at the given date. Parents or guardians and students are notified by telephone or email.,info@bhanu.edu.np
Butwal Public School,"Rupandehi,  Tillotama Municipality,  Tilottama-3, Yogikuti",https://nepalschoolmela.com/butwalpublic,Not found,info@bp.edu.np
Global Educational Academy,"Jhapa,  Damak,",https://nepalschoolmela.com/globaleducationalacademy,Not found,info@gea.edu.com
Laboratory Secondary Boarding School,"Kathmandu,  Kathmandu,  Kirtipur",https://nepalschoolmela.com/laboratoryschool,Not found,ourlabschool@yahoo.com
Little Angels School,"Lalitpur,   Hattiban",https://nepalschoolmela.com/littleschool,Not found,info@las.edu.np
LRI School,"Kathmandu,  Nagarjun,  Kalanki Sthan",https://nepalschoolmela.com/lrischool,Not found,info@lrischool.edu.np
Morgan International School,"Kathmandu,   Basundhara -3",https://nepalschoolmela.com/morganschool,Not found,info@morganintlschool.com
Panini School,"Kathmandu,   Kageshwori Manohara-9",https://nepalschoolmela.com/paninischool,Not found,info@paninischool.edu.np
Sagarmatha Secondary School,"Siraha,   Mirchaiya",https://nepalschoolmela.com/sagarmatha,Not found,sagarmatha.hss@gmail.com
Siddhartha Vidyapeeth  Secondary School,"Bhaktapur,  Madhyapur Thimi,  Madhyapur Thimi-2,Gatthaghar",https://nepalschoolmela.com/siddhartha,Not found,info@svp.edu.np
Southwestern School,"Kathmandu,  Kathmandu,  Basundhara",https://nepalschoolmela.com/southwestern,Not found,info@southwesternschool.edu.np
Ace School,"Kathmandu,  Kathmandu,  Gairigaun",https://nepalschoolmela.com/aceschool,Not found,aceschool@ace.edu.np
Alok Vidyashram,"Kathmandu,  Kathmandu,  Shahid Marg, Gyaneshwor",https://nepalschoolmela.com/alokvidyashram,Not found,alokvidyashram@gmail.com
Asia Pacific School,"Kathmandu,  Tokha,  Tolakha Road",https://nepalschoolmela.com/aciapacific,Not found,info@asiapacific.edu.np
​Campion Academy,"Lalitpur,  Lalitpur,  lagankhel",https://nepalschoolmela.com/compionacademy,Not found,info.cslagankhel@gmail.com
Chandikeswori English Secondary School,"Kathmandu,  Gokarneshwor Municipality,  Bhumisthali, Nayapa",https://nepalschoolmela.com/chandikesworischool,Not found,chandikashworischool@gmail.com
Chelsea International Academy,"Kathmandu,  Kathmandu,  New Baneshwor",https://nepalschoolmela.com/chelsaacademy,Not found,mail@chelseainternational.com.np
Euro School,"Kathmandu,  Kathmandu,  Ganesh Chowk Hattigaunda",https://nepalschoolmela.com/euros,Not found,info@es.edu.np
Euro School Chhauni,"Kathmandu,  Kathmandu,  Kimdole-Marg, Chhauni",https://nepalschoolmela.com/EuroSchool123,Not found,info@euroschool.edu.np
GEMS School,"Lalitpur,  Lalitpur,  Dhapakhel",https://nepalschoolmela.com/gemsschool,Not found,info@gems.edu.np
Glacier International Secondary School,"Kathmandu,  Kathmandu,  Shantinagar",https://nepalschoolmela.com/Glacierschool,Not found,info@glaciercollege.edu.np
Gyan Sanskar International School,"Kathmandu,  Kathmandu,  Samakhusi Chowk",https://nepalschoolmela.com/gyansanskarschool,Not found,Info@gyansanskar.school
Herald Secondary School,"Kathmandu,   Basundhara",https://nepalschoolmela.com/herladschool,Not found,contact@heraldschool.edu.np
Himalaya Secondary School,"Kathmandu,  Kathmandu,  Koteshwor",https://nepalschoolmela.com/himalayaschool,Not found,info@himalayaschool.edu.np
Himalayan Academy,"Kathmandu,  Kathmandu,  Samakhushi-26",https://nepalschoolmela.com/himalayanacademy,Not found,Himalayan.1995@gmail.com
IST Secondary School,"Kathmandu,  Kathmandu,  Gyaneshwor",https://nepalschoolmela.com/istschool,Not found,info@istcollege.edu.np
John Dewy Higher Secondary School,"Kathmandu,  Kathmandu,  Kapan Marg, Peepalbot, Maharjgunj",https://nepalschoolmela.com/johndewyschool,Not found,johndewey06@gmail.com
Kanjirowa National School,"Kathmandu,  Kathmandu,  Koteshwor",https://nepalschoolmela.com/kanjirowaschool,Not found,kanjisl@mail.com.np
Kathmandu Valley School,"Kathmandu,  Kathmandu,  Museum Road, Chhauni",https://nepalschoolmela.com/kvc,Not found,info@kvc.edu.np
Kautilya Global School,"Kathmandu,  Kathmandu,  Subidhanagar, Tinkune",https://nepalschoolmela.com/kautilyass,Not found,info@kautilya.edu.np
KMC SCHOOL,"Kathmandu,  Kathmandu,  Shankhamul Marg, BuddhaNagar",https://nepalschoolmela.com/kmcshool,Not found,info@kmcschool.edu.np
Learning Heaven and Research School,"Pyuthan,   Pundyakhola",https://nepalschoolmela.com/learningheaven,Not found,surendraghimire2011@gmail.com
Manakamana Secondary School,"Kathmandu,  Kathmandu,  Gokarneshwor-7",https://nepalschoolmela.com/manakamana,Not found,manakamanamavi038@gmail.com
New Millennium School,"Lalitpur,  Lalitpur,  Seetal Height, Imadole",https://nepalschoolmela.com/newmillennium,Not found,excellence@nms.edu.np
Pathshala Nepal Foundation,"Lalitpur,   Bagdol",https://nepalschoolmela.com/pathsala,Not found,pnflalitpur@pathshala.edu.np
Rising Star Secondary School,"Kathmandu,  Kathmandu,  Bafal, Kalanki",https://nepalschoolmela.com/risingstarschool,Not found,risingstar.edu.np@gmail.com
SANN International Secondary School,"Kathmandu,  Kathmandu,  Chabahil, Bhatkeko Pul",https://nepalschoolmela.com/sannschool,Not found,dsghimire@gmail.com
Sarbanam Shikshyalaya,"Kathmandu,  Kathmandu,  Jorpati",https://nepalschoolmela.com/sarbanamshikshyalaya,Not found,info@sarbanamshikshyalaya.edu.np
Sikhar school,"Lalitpur,  Lalitpur,  Ochu Height, Imadole",https://nepalschoolmela.com/sikharschool,Not found,shikharschoollalitpur@gmail.com
St.Joseph English Secondary School,"Kathmandu,  Budanilkantha,  Budhanilkantha-08,Golfutar",https://nepalschoolmela.com/stjosephs,Not found,info@stjosephs.edu.np
Sunaulo Bhabisya,"Kathmandu,  Kathmandu,  Dallu Chautara - 15",https://nepalschoolmela.com/sunaulobhabisya,Not found,sunaulo.bhabishya@yahoo.com
Tops English Boarding School,"Kaski,  Pokhara,  Ramghat, Pokhara",https://nepalschoolmela.com/topsenglishschool,Not found,topsenglishschool@gmail.com
